Filename:	C:\Users\A2025\Documents\Service_1216\X_Band\HS\CH3205\2nd Batch\VoACAC.par	 Date: 04/16/2025   Time: 01:31

X [G]	Intensity
1000.000000	443.581055
1001.465576	693.581055
1002.931091	373.581055
1004.396667	344.581055
1005.862244	518.581055
1007.327820	509.581055
1008.793335	602.581055
1010.258911	506.581055
1011.724487	658.581055
1013.190063	417.581055
1014.655579	693.581055
1016.121155	400.581055
1017.586731	623.581055
1019.052246	578.581055
1020.517822	469.581055
1021.983398	531.581055
1023.448975	410.581055
1024.914551	582.581055
1026.380127	421.581055
1027.845581	658.581055
1029.311157	591.581055
1030.776733	550.581055
1032.242310	351.581055
1033.707886	401.581055
1035.173462	414.581055
1036.639038	533.581055
1038.104492	378.581055
1039.570068	614.581055
1041.035645	631.581055
1042.501221	312.581055
1043.966797	421.581055
1045.432373	552.581055
1046.897949	566.581055
1048.363403	546.581055
1049.828979	687.581055
1051.294556	562.581055
1052.760132	426.581055
1054.225708	441.581055
1055.691284	619.581055
1057.156860	692.581055
1058.622314	543.581055
1060.087891	592.581055
1061.553467	645.581055
1063.019043	637.581055
1064.484619	978.581055
1065.950195	526.581055
1067.415771	477.581055
1068.881348	285.581055
1070.346802	331.581055
1071.812378	506.581055
1073.277954	590.581055
1074.743530	439.581055
1076.209106	619.581055
1077.674683	654.581055
1079.140259	741.581055
1080.605713	788.581055
1082.071289	530.581055
1083.536865	501.581055
1085.002441	798.581055
1086.468018	506.581055
1087.933594	448.581055
1089.399170	458.581055
1090.864624	712.581055
1092.330200	592.581055
1093.795776	355.581055
1095.261353	499.581055
1096.726929	490.581055
1098.192505	430.581055
1099.658081	722.581055
1101.123535	559.581055
1102.589111	316.581055
1104.054688	467.581055
1105.520264	574.581055
1106.985840	279.581055
1108.451416	539.581055
1109.916992	445.581055
1111.382568	624.581055
1112.848022	635.581055
1114.313599	628.581055
1115.779175	553.581055
1117.244751	644.581055
1118.710327	842.581055
1120.175903	853.581055
1121.641479	569.581055
1123.106934	622.581055
1124.572510	710.581055
