Wavelength	S1
nm	CPS
450	1370
451	1120
452	1060
453	1130
454	1020
455	1130
456	1100
457	1140
458	870
459	1070
460	1020
461	930
462	1110
463	940
464	1020
465	980
466	930
467	1060
468	890
469	970
470	790
471	980
472	930
473	860
474	850
475	800
476	1010
477	900
478	990
479	850
480	840
481	860
482	790
483	840
484	1020
485	950
486	1040
487	820
488	820
489	820
490	900
491	810
492	1000
493	940
494	900
495	1150
496	1210
497	1160
498	1490
499	1640
500	1940
501	2540
502	2770
503	3330
504	3750
505	4120
506	4760
507	4870
508	5530
509	5890
510	5150
511	5380
512	5180
513	4730
514	4470
515	4120
516	3170
517	2590
518	2590
519	1920
520	2150
521	1780
522	1850
523	1740
524	2090
525	1790
526	1920
527	2390
528	2160
529	2690
530	2850
531	2790
532	3330
533	2970
534	4130
535	4130
536	4850
537	5190
538	5160
539	6280
540	6770
541	7710
542	8860
543	9260
544	10450
545	10340
546	11880
547	13320
548	14080
549	15510
550	16630
551	18850
552	20820
553	21980
554	24530
555	25840
556	29040
557	32020
558	33420
559	36480
560	40050
561	42820
562	44990
563	49160
564	52300
565	56100
566	60400
567	62980
568	68310
569	71150
570	75640
571	78570
572	83880
573	89990
574	93150
575	96650
576	99650
577	105470
578	111050
579	114930
580	118400
581	121020
582	128190
583	130760
584	136060
585	142560
586	143910
587	145840
588	148620
589	155120
590	155370
591	156990
592	162830
593	165570
594	169310
595	173150
596	173500
597	174700
598	180560
599	178150
600	181390
601	182910
602	183450
603	182470
604	185080
605	189620
606	185050
607	189860
608	190620
609	187620
610	190120
611	188370
612	188400
613	190130
614	189140
615	184400
616	186440
617	182840
618	182520
619	181790
620	180390
621	181340
622	178260
623	175410
624	171420
625	172100
626	171790
627	164840
628	161820
629	163410
630	158610
631	158280
632	154990
633	152260
634	150580
635	147340
636	144950
637	143600
638	140960
639	139260
640	137250
641	135220
642	134570
643	132090
644	128500
645	125490
646	122820
647	122210
648	119000
649	117640
650	114870
651	111450
652	112790
653	111050
654	106700
655	105140
656	104500
657	99280
658	98530
659	94710
660	95060
661	91290
662	90530
663	84980
664	85050
665	83370
666	80480
667	78420
668	75260
669	73050
670	71590
671	69120
672	67370
673	65830
674	64560
675	60020
676	58890
677	57790
678	56570
679	54320
680	52300
681	50510
682	49400
683	46940
684	45190
685	44330
686	41640
687	40830
688	39080
689	37730
690	36540
691	35250
692	33420
693	32560
694	32180
695	30120
696	29320
697	28520
698	27970
699	25520
700	24900
701	23430
702	23350
703	22720
704	20870
705	20960
706	19970
707	19600
708	18290
709	17500
710	17850
711	16850
712	15330
713	15730
714	14720
715	14490
716	14600
717	12860
718	12520
719	12010
720	12160
721	11900
722	11080
723	10410
724	9880
725	9560
726	9190
727	8860
728	8220
729	8660
730	7940
731	7980
732	7340
733	7300
734	6580
735	6770
736	6140
737	6280
738	5710
739	5270
740	5630
741	4730
742	4860
743	4550
744	4280
745	4590
746	4260
747	4160
748	3910
749	4000
750	3870
