Potential,Current,Potential_vs_Fc
0.0,-5.424e-06,-0.629
0.001,-5.304e-06,-0.628
0.002,-5.234e-06,-0.627
0.003,-5.187e-06,-0.626
0.004,-5.14e-06,-0.625
0.005,-5.107e-06,-0.624
0.006,-5.07e-06,-0.623
0.007,-5.039e-06,-0.622
0.008,-5.001e-06,-0.621
0.009,-4.972e-06,-0.62
0.01,-4.937e-06,-0.619
0.011,-4.911e-06,-0.618
0.012,-4.876e-06,-0.617
0.013,-4.851e-06,-0.616
0.014,-4.82e-06,-0.615
0.015,-4.796e-06,-0.614
0.016,-4.767e-06,-0.613
0.017,-4.743e-06,-0.612
0.018,-4.712e-06,-0.611
0.019,-4.69e-06,-0.61
0.02,-4.661e-06,-0.609
0.021,-4.641e-06,-0.608
0.022,-4.615e-06,-0.607
0.023,-4.589e-06,-0.606
0.024,-4.564e-06,-0.605
0.025,-4.545e-06,-0.604
0.026,-4.517e-06,-0.603
0.027,-4.5e-06,-0.602
0.028,-4.474e-06,-0.601
0.029,-4.457e-06,-0.6
0.03,-4.431e-06,-0.599
0.031,-4.411e-06,-0.598
0.032,-4.385e-06,-0.597
0.033,-4.367e-06,-0.596
0.034,-4.343e-06,-0.595
0.035,-4.326e-06,-0.594
0.036,-4.302e-06,-0.593
0.037,-4.285e-06,-0.592
0.038,-4.259e-06,-0.591
0.039,-4.241e-06,-0.59
0.04,-4.217e-06,-0.589
0.041,-4.2e-06,-0.588
0.042,-4.175e-06,-0.587
0.043,-4.16e-06,-0.586
0.044,-4.135e-06,-0.585
0.045,-4.119e-06,-0.584
0.046,-4.096e-06,-0.583
0.047,-4.08e-06,-0.582
0.048,-4.057e-06,-0.581
0.049,-4.043e-06,-0.58
0.05,-4.021e-06,-0.579
0.051,-4.007e-06,-0.578
0.052,-3.985e-06,-0.577
0.053,-3.966e-06,-0.576
0.054,-3.945e-06,-0.575
0.055,-3.929e-06,-0.574
0.056,-3.909e-06,-0.573
0.057,-3.892e-06,-0.572
0.058,-3.872e-06,-0.571
0.059,-3.857e-06,-0.5700000000000001
0.06,-3.834e-06,-0.569
0.061,-3.821e-06,-0.5680000000000001
0.062,-3.797e-06,-0.567
0.063,-3.784e-06,-0.5660000000000001
0.064,-3.762e-06,-0.565
0.065,-3.749e-06,-0.5640000000000001
0.066,-3.73e-06,-0.563
0.067,-3.716e-06,-0.562
0.068,-3.695e-06,-0.5609999999999999
0.069,-3.682e-06,-0.56
0.07,-3.662e-06,-0.5589999999999999
0.071,-3.648e-06,-0.558
0.072,-3.628e-06,-0.557
0.073,-3.615e-06,-0.556
0.074,-3.595e-06,-0.555
0.075,-3.581e-06,-0.554
0.076,-3.561e-06,-0.553
0.077,-3.546e-06,-0.552
0.078,-3.528e-06,-0.551
0.079,-3.514e-06,-0.55
0.08,-3.493e-06,-0.549
0.081,-3.48e-06,-0.548
0.082,-3.462e-06,-0.547
0.083,-3.448e-06,-0.546
0.084,-3.428e-06,-0.545
0.085,-3.416e-06,-0.544
0.086,-3.398e-06,-0.543
0.087,-3.384e-06,-0.542
0.088,-3.366e-06,-0.541
0.089,-3.353e-06,-0.54
0.09,-3.333e-06,-0.539
0.091,-3.321e-06,-0.538
0.092,-3.302e-06,-0.537
0.093,-3.291e-06,-0.536
0.094,-3.272e-06,-0.535
0.095,-3.26e-06,-0.534
0.096,-3.24e-06,-0.533
0.097,-3.228e-06,-0.532
0.098,-3.209e-06,-0.531
0.099,-3.197e-06,-0.53
0.1,-3.18e-06,-0.529
0.101,-3.17e-06,-0.528
0.102,-3.15e-06,-0.527
0.103,-3.137e-06,-0.526
0.104,-3.121e-06,-0.525
0.105,-3.109e-06,-0.524
0.106,-3.09e-06,-0.523
0.107,-3.08e-06,-0.522
0.108,-3.061e-06,-0.521
0.109,-3.049e-06,-0.52
0.11,-3.033e-06,-0.519
0.111,-3.02e-06,-0.518
0.112,-3.002e-06,-0.517
0.113,-2.99e-06,-0.516
0.114,-2.973e-06,-0.515
0.115,-2.961e-06,-0.514
0.116,-2.942e-06,-0.513
0.117,-2.933e-06,-0.512
0.118,-2.916e-06,-0.511
0.119,-2.904e-06,-0.51
0.12,-2.889e-06,-0.509
0.121,-2.878e-06,-0.508
0.122,-2.861e-06,-0.507
0.123,-2.85e-06,-0.506
0.124,-2.833e-06,-0.505
0.125,-2.821e-06,-0.504
0.126,-2.805e-06,-0.503
0.127,-2.793e-06,-0.502
0.128,-2.775e-06,-0.501
0.129,-2.764e-06,-0.5
0.13,-2.747e-06,-0.499
0.131,-2.736e-06,-0.498
0.132,-2.719e-06,-0.497
0.133,-2.709e-06,-0.496
0.134,-2.692e-06,-0.495
0.135,-2.68e-06,-0.494
0.136,-2.666e-06,-0.493
0.137,-2.654e-06,-0.492
0.138,-2.638e-06,-0.491
0.139,-2.627e-06,-0.49
0.14,-2.611e-06,-0.489
0.141,-2.602e-06,-0.488
0.142,-2.585e-06,-0.487
0.143,-2.577e-06,-0.486
0.144,-2.559e-06,-0.485
0.145,-2.551e-06,-0.484
0.146,-2.535e-06,-0.483
0.147,-2.524e-06,-0.482
0.148,-2.507e-06,-0.481
0.149,-2.499e-06,-0.48
0.15,-2.482e-06,-0.479
0.151,-2.471e-06,-0.478
0.152,-2.455e-06,-0.477
0.153,-2.445e-06,-0.476
0.154,-2.429e-06,-0.475
0.155,-2.42e-06,-0.474
0.156,-2.405e-06,-0.473
0.157,-2.396e-06,-0.472
0.158,-2.382e-06,-0.471
0.159,-2.371e-06,-0.47
0.16,-2.356e-06,-0.469
0.161,-2.348e-06,-0.46799999999999997
0.162,-2.332e-06,-0.46699999999999997
0.163,-2.323e-06,-0.46599999999999997
0.164,-2.306e-06,-0.46499999999999997
0.165,-2.295e-06,-0.46399999999999997
0.166,-2.28e-06,-0.46299999999999997
0.167,-2.269e-06,-0.46199999999999997
0.168,-2.255e-06,-0.46099999999999997
0.169,-2.244e-06,-0.45999999999999996
0.17,-2.228e-06,-0.45899999999999996
0.171,-2.221e-06,-0.45799999999999996
0.172,-2.203e-06,-0.457
0.173,-2.194e-06,-0.456
0.174,-2.177e-06,-0.455
0.175,-2.168e-06,-0.454
0.176,-2.152e-06,-0.453
0.177,-2.144e-06,-0.452
0.178,-2.129e-06,-0.451
0.179,-2.119e-06,-0.45
0.18,-2.103e-06,-0.449
0.181,-2.095e-06,-0.448
0.182,-2.078e-06,-0.447
0.183,-2.07e-06,-0.446
0.184,-2.055e-06,-0.445
0.185,-2.045e-06,-0.444
0.186,-2.029e-06,-0.443
0.187,-2.02e-06,-0.442
0.188,-2.003e-06,-0.441
0.189,-1.996e-06,-0.44
0.19,-1.978e-06,-0.439
0.191,-1.971e-06,-0.438
0.192,-1.954e-06,-0.437
0.193,-1.945e-06,-0.436
0.194,-1.931e-06,-0.435
0.195,-1.921e-06,-0.434
0.196,-1.906e-06,-0.433
0.197,-1.899e-06,-0.432
0.198,-1.882e-06,-0.431
0.199,-1.873e-06,-0.43
0.2,-1.857e-06,-0.429
0.201,-1.849e-06,-0.428
0.202,-1.833e-06,-0.427
0.203,-1.824e-06,-0.426
0.204,-1.81e-06,-0.42500000000000004
0.205,-1.797e-06,-0.42400000000000004
0.206,-1.783e-06,-0.42300000000000004
0.207,-1.774e-06,-0.42200000000000004
0.208,-1.76e-06,-0.42100000000000004
0.209,-1.751e-06,-0.42000000000000004
0.21,-1.736e-06,-0.41900000000000004
0.211,-1.726e-06,-0.41800000000000004
0.212,-1.71e-06,-0.41700000000000004
0.213,-1.704e-06,-0.41600000000000004
0.214,-1.688e-06,-0.41500000000000004
0.215,-1.679e-06,-0.41400000000000003
0.216,-1.665e-06,-0.41300000000000003
0.217,-1.655e-06,-0.41200000000000003
0.218,-1.639e-06,-0.41100000000000003
0.219,-1.632e-06,-0.41000000000000003
0.22,-1.615e-06,-0.40900000000000003
0.221,-1.608e-06,-0.40800000000000003
0.222,-1.591e-06,-0.40700000000000003
0.223,-1.583e-06,-0.406
0.224,-1.568e-06,-0.405
0.225,-1.559e-06,-0.404
0.226,-1.545e-06,-0.403
0.227,-1.536e-06,-0.402
0.228,-1.521e-06,-0.401
0.229,-1.515e-06,-0.4
0.23,-1.499e-06,-0.399
0.231,-1.49e-06,-0.398
0.232,-1.475e-06,-0.397
0.233,-1.467e-06,-0.396
0.234,-1.453e-06,-0.395
0.235,-1.445e-06,-0.394
0.236,-1.429e-06,-0.393
0.237,-1.421e-06,-0.392
0.238,-1.407e-06,-0.391
0.239,-1.398e-06,-0.39
0.24,-1.384e-06,-0.389
0.241,-1.376e-06,-0.388
0.242,-1.362e-06,-0.387
0.243,-1.354e-06,-0.386
0.244,-1.338e-06,-0.385
0.245,-1.333e-06,-0.384
0.246,-1.316e-06,-0.383
0.247,-1.309e-06,-0.382
0.248,-1.295e-06,-0.381
0.249,-1.286e-06,-0.38
0.25,-1.271e-06,-0.379
0.251,-1.264e-06,-0.378
0.252,-1.249e-06,-0.377
0.253,-1.242e-06,-0.376
0.254,-1.23e-06,-0.375
0.255,-1.221e-06,-0.374
0.256,-1.207e-06,-0.373
0.257,-1.199e-06,-0.372
0.258,-1.186e-06,-0.371
0.259,-1.178e-06,-0.37
