Potential,Current,Potential_vs_Fc
0.0,1.523e-07,-0.629
-0.001,3.279e-08,-0.63
-0.002,-2.965e-08,-0.631
-0.003,-6.951e-08,-0.632
-0.004,-1.066e-07,-0.633
-0.005,-1.327e-07,-0.634
-0.006,-1.639e-07,-0.635
-0.007,-1.848e-07,-0.636
-0.008,-2.104e-07,-0.637
-0.009,-2.302e-07,-0.638
-0.01,-2.537e-07,-0.639
-0.011,-2.71e-07,-0.64
-0.012,-2.934e-07,-0.641
-0.013,-3.114e-07,-0.642
-0.014,-3.311e-07,-0.643
-0.015,-3.469e-07,-0.644
-0.016,-3.674e-07,-0.645
-0.017,-3.815e-07,-0.646
-0.018,-3.969e-07,-0.647
-0.019,-4.13e-07,-0.648
-0.02,-4.293e-07,-0.649
-0.021,-4.397e-07,-0.65
-0.022,-4.563e-07,-0.651
-0.023,-4.678e-07,-0.652
-0.024,-4.835e-07,-0.653
-0.025,-4.945e-07,-0.654
-0.026,-5.118e-07,-0.655
-0.027,-5.228e-07,-0.656
-0.028,-5.4e-07,-0.657
-0.029,-5.509e-07,-0.658
-0.03,-5.678e-07,-0.659
-0.031,-5.771e-07,-0.66
-0.032,-5.943e-07,-0.661
-0.033,-6.042e-07,-0.662
-0.034,-6.181e-07,-0.663
-0.035,-6.277e-07,-0.664
-0.036,-6.419e-07,-0.665
-0.037,-6.486e-07,-0.666
-0.038,-6.635e-07,-0.667
-0.039,-6.716e-07,-0.668
-0.04,-6.835e-07,-0.669
-0.041,-6.907e-07,-0.67
-0.042,-7.028e-07,-0.671
-0.043,-7.112e-07,-0.672
-0.044,-7.223e-07,-0.673
-0.045,-7.294e-07,-0.674
-0.046,-7.433e-07,-0.675
-0.047,-7.49e-07,-0.676
-0.048,-7.622e-07,-0.677
-0.049,-7.685e-07,-0.678
-0.05,-7.791e-07,-0.679
-0.051,-7.878e-07,-0.68
-0.052,-8.002e-07,-0.681
-0.053,-8.054e-07,-0.682
-0.054,-8.174e-07,-0.683
-0.055,-8.247e-07,-0.684
-0.056,-8.363e-07,-0.685
-0.057,-8.437e-07,-0.686
-0.058,-8.548e-07,-0.687
-0.059,-8.591e-07,-0.688
-0.06,-8.708e-07,-0.6890000000000001
-0.061,-8.756e-07,-0.69
-0.062,-8.863e-07,-0.6910000000000001
-0.063,-8.93e-07,-0.692
-0.064,-9.031e-07,-0.6930000000000001
-0.065,-9.096e-07,-0.694
-0.066,-9.186e-07,-0.6950000000000001
-0.067,-9.245e-07,-0.696
-0.068,-9.333e-07,-0.6970000000000001
-0.069,-9.38e-07,-0.698
-0.07,-9.493e-07,-0.6990000000000001
-0.071,-9.544e-07,-0.7
-0.072,-9.623e-07,-0.701
-0.073,-9.686e-07,-0.702
-0.074,-9.776e-07,-0.703
-0.075,-9.829e-07,-0.704
-0.076,-9.918e-07,-0.705
-0.077,-9.979e-07,-0.706
-0.078,-1.008e-06,-0.707
-0.079,-1.012e-06,-0.708
-0.08,-1.021e-06,-0.709
-0.081,-1.027e-06,-0.71
-0.082,-1.035e-06,-0.711
-0.083,-1.04e-06,-0.712
-0.084,-1.05e-06,-0.713
-0.085,-1.056e-06,-0.714
-0.086,-1.064e-06,-0.715
-0.087,-1.069e-06,-0.716
-0.088,-1.077e-06,-0.717
-0.089,-1.082e-06,-0.718
-0.09,-1.092e-06,-0.719
-0.091,-1.096e-06,-0.72
-0.092,-1.106e-06,-0.721
-0.093,-1.111e-06,-0.722
-0.094,-1.119e-06,-0.723
-0.095,-1.124e-06,-0.724
-0.096,-1.132e-06,-0.725
-0.097,-1.136e-06,-0.726
-0.098,-1.143e-06,-0.727
-0.099,-1.15e-06,-0.728
-0.1,-1.158e-06,-0.729
-0.101,-1.16e-06,-0.73
-0.102,-1.171e-06,-0.731
-0.103,-1.175e-06,-0.732
-0.104,-1.184e-06,-0.733
-0.105,-1.187e-06,-0.734
-0.106,-1.197e-06,-0.735
-0.107,-1.199e-06,-0.736
-0.108,-1.209e-06,-0.737
-0.109,-1.213e-06,-0.738
-0.11,-1.222e-06,-0.739
-0.111,-1.225e-06,-0.74
-0.112,-1.233e-06,-0.741
-0.113,-1.237e-06,-0.742
-0.114,-1.246e-06,-0.743
-0.115,-1.251e-06,-0.744
-0.116,-1.26e-06,-0.745
-0.117,-1.261e-06,-0.746
-0.118,-1.27e-06,-0.747
-0.119,-1.274e-06,-0.748
-0.12,-1.282e-06,-0.749
-0.121,-1.285e-06,-0.75
-0.122,-1.295e-06,-0.751
-0.123,-1.298e-06,-0.752
-0.124,-1.306e-06,-0.753
-0.125,-1.311e-06,-0.754
-0.126,-1.32e-06,-0.755
-0.127,-1.323e-06,-0.756
-0.128,-1.333e-06,-0.757
-0.129,-1.336e-06,-0.758
-0.13,-1.343e-06,-0.759
-0.131,-1.348e-06,-0.76
-0.132,-1.357e-06,-0.761
-0.133,-1.358e-06,-0.762
-0.134,-1.367e-06,-0.763
-0.135,-1.371e-06,-0.764
-0.136,-1.379e-06,-0.765
-0.137,-1.382e-06,-0.766
-0.138,-1.391e-06,-0.767
-0.139,-1.394e-06,-0.768
-0.14,-1.403e-06,-0.769
-0.141,-1.407e-06,-0.77
-0.142,-1.415e-06,-0.771
-0.143,-1.419e-06,-0.772
-0.144,-1.427e-06,-0.773
-0.145,-1.43e-06,-0.774
-0.146,-1.438e-06,-0.775
-0.147,-1.441e-06,-0.776
-0.148,-1.451e-06,-0.777
-0.149,-1.454e-06,-0.778
-0.15,-1.461e-06,-0.779
-0.151,-1.466e-06,-0.78
-0.152,-1.473e-06,-0.781
-0.153,-1.479e-06,-0.782
-0.154,-1.487e-06,-0.783
-0.155,-1.491e-06,-0.784
-0.156,-1.499e-06,-0.785
-0.157,-1.501e-06,-0.786
-0.158,-1.509e-06,-0.787
-0.159,-1.513e-06,-0.788
-0.16,-1.522e-06,-0.789
-0.161,-1.525e-06,-0.79
-0.162,-1.531e-06,-0.791
-0.163,-1.534e-06,-0.792
-0.164,-1.543e-06,-0.793
-0.165,-1.545e-06,-0.794
-0.166,-1.554e-06,-0.795
-0.167,-1.558e-06,-0.796
-0.168,-1.566e-06,-0.797
-0.169,-1.569e-06,-0.798
-0.17,-1.577e-06,-0.799
-0.171,-1.581e-06,-0.8
-0.172,-1.589e-06,-0.8009999999999999
-0.173,-1.594e-06,-0.802
-0.174,-1.601e-06,-0.8029999999999999
-0.175,-1.605e-06,-0.804
-0.176,-1.614e-06,-0.8049999999999999
-0.177,-1.617e-06,-0.806
-0.178,-1.623e-06,-0.8069999999999999
-0.179,-1.628e-06,-0.808
-0.18,-1.636e-06,-0.8089999999999999
-0.181,-1.639e-06,-0.81
-0.182,-1.647e-06,-0.8109999999999999
-0.183,-1.651e-06,-0.812
-0.184,-1.658e-06,-0.813
-0.185,-1.662e-06,-0.8140000000000001
-0.186,-1.67e-06,-0.815
-0.187,-1.672e-06,-0.8160000000000001
-0.188,-1.682e-06,-0.817
-0.189,-1.683e-06,-0.8180000000000001
-0.19,-1.691e-06,-0.819
-0.191,-1.694e-06,-0.8200000000000001
-0.192,-1.704e-06,-0.821
-0.193,-1.706e-06,-0.8220000000000001
-0.194,-1.714e-06,-0.823
-0.195,-1.716e-06,-0.8240000000000001
-0.196,-1.725e-06,-0.825
-0.197,-1.727e-06,-0.8260000000000001
-0.198,-1.736e-06,-0.827
-0.199,-1.739e-06,-0.8280000000000001
-0.2,-1.747e-06,-0.829
