Wavelength	S1
nm	CPS
450	1390
451	1490
452	1490
453	1130
454	1270
455	1300
456	1070
457	1260
458	1210
459	1120
460	1160
461	1480
462	1510
463	1240
464	1210
465	1220
466	1120
467	1240
468	1360
469	1070
470	1190
471	1110
472	1350
473	940
474	1110
475	1110
476	1070
477	1110
478	970
479	1220
480	1090
481	920
482	770
483	1030
484	750
485	1070
486	950
487	1000
488	880
489	720
490	920
491	1080
492	910
493	940
494	1030
495	980
496	1220
497	1210
498	1750
499	1670
500	1880
501	2540
502	2850
503	3410
504	3580
505	4400
506	5030
507	5330
508	5900
509	6000
510	5900
511	5490
512	4930
513	4910
514	5040
515	3690
516	3420
517	2870
518	2430
519	1990
520	1840
521	1600
522	1490
523	1190
524	1100
525	1300
526	1230
527	1090
528	1450
529	1510
530	1450
531	1460
532	2090
533	1860
534	1980
535	2120
536	2160
537	2560
538	2570
539	2940
540	2920
541	3380
542	3690
543	3960
544	4210
545	4890
546	4880
547	5700
548	5860
549	6580
550	7540
551	6930
552	8280
553	8970
554	9100
555	10410
556	11440
557	12040
558	13190
559	12840
560	14930
561	16140
562	17000
563	17800
564	18850
565	19800
566	22210
567	23100
568	23560
569	25090
570	26660
571	28670
572	29800
573	31950
574	32910
575	34230
576	35320
577	36620
578	37250
579	39080
580	40580
581	42460
582	44210
583	44130
584	46830
585	46230
586	47750
587	48850
588	50630
589	52150
590	52400
591	52370
592	52030
593	54970
594	54440
595	55480
596	56560
597	55300
598	56330
599	57400
600	58290
601	58060
602	59230
603	58030
604	59150
605	57230
606	58350
607	57500
608	58220
609	57730
610	57780
611	57450
612	56710
613	56700
614	55720
615	55350
616	54790
617	53460
618	55340
619	53450
620	53180
621	51760
622	52070
623	51280
624	49710
625	49140
626	47660
627	47040
628	47710
629	45160
630	45910
631	44920
632	43080
633	42110
634	42820
635	42160
636	40050
637	39190
638	38240
639	38750
640	37450
641	36660
642	36790
643	35100
644	34410
645	33700
646	33510
647	32100
648	31880
649	31900
650	31590
651	29670
652	30140
653	28900
654	28870
655	28360
656	27630
657	26580
658	26210
659	25760
660	24670
661	24450
662	23000
663	22680
664	23340
665	22270
666	20640
667	20560
668	20570
669	20080
670	19160
671	19090
672	17330
673	17230
674	18150
675	16550
676	15770
677	16180
678	15710
679	14290
680	14130
681	13680
682	12760
683	13630
684	12580
685	12150
686	11680
687	11540
688	11040
689	10540
690	10980
691	9850
692	9770
693	9320
694	8630
695	8710
696	8510
697	7890
698	7050
699	7380
700	7440
701	7410
702	6950
703	6920
704	6900
705	6690
706	5610
707	5930
708	5550
709	5970
710	5510
711	4990
712	4520
713	4740
714	4940
715	4350
716	4520
717	4030
718	4480
719	3880
720	3560
721	3240
722	3830
723	3350
724	3740
725	2850
726	3060
727	3000
728	2790
729	2670
730	2530
731	2830
732	2290
733	2350
734	2430
735	2370
736	2340
737	2200
738	2290
739	1790
740	2020
741	1920
742	2030
743	1940
744	1710
745	1810
746	1230
747	1740
748	1580
749	1330
750	1300
