Wavelength	S1c / R1c
nm	CPS / MicroAmps
445	403.341675853792
446	422.353419914805
447	288.349410247391
448	353.087600623861
449	268.114280896968
450	307.50579099514
451	253.096647459171
452	262.771987127448
453	422.437341468971
454	257.671254620879
455	188.217703574468
456	332.880471284998
457	227.969486357685
458	317.837936207345
459	232.98567066631
460	308.17269108165
461	227.959443283097
462	282.801079642971
463	277.548155826633
464	297.802237273086
465	298.186611904905
466	153.537020723447
467	197.883244595097
468	168.174430181849
469	272.969531439443
470	278.721109575397
471	243.294738588333
472	213.577762294496
473	173.455122268554
474	223.346740464234
475	148.236262887631
476	262.542439766555
477	223.005721552828
478	227.871420335346
479	238.289233470658
480	197.991232811442
481	223.086954998516
482	192.872492641834
483	257.780950190414
484	192.580450818172
485	202.807699301839
486	192.824952297108
487	218.053116852927
488	312.464710308558
489	427.677582337599
490	552.95796636254
491	552.30396637918
492	597.045112430129
493	850.178926886183
494	976.451947943006
495	1159.77630055621
496	1519.9683567348
497	1828.61609145854
498	1817.64809502765
499	2150.17430972118
500	2666.64870385723
501	2408.38045485496
502	2566.39513710092
503	2675.45782727813
504	2767.23072125242
505	2770.46016051582
506	2469.89886056514
507	2120.57366977224
508	1889.9312957774
509	1633.24105511667
510	1228.34800818674
511	961.951045266546
512	677.14110688988
513	701.940761411286
514	536.063966490887
515	422.74090342559
516	377.229513977278
517	432.102814670367
518	471.554925842251
519	372.283649091029
520	452.961518912387
521	382.738862904498
522	447.824590175452
523	671.861801128337
524	612.91570707104
525	516.559485014087
526	626.83870901435
527	839.961851617892
528	950.661665008283
529	866.531907682841
530	952.176957567699
531	985.828623347643
532	1148.41562003525
533	1350.0583357894
534	1373.55835439479
535	1633.81293361055
536	1870.45901971324
537	2228.43908726547
538	2181.08028053846
539	2650.9980635405
540	2779.31164067382
541	2698.11328335559
542	3566.20441404674
543	3985.00214696596
544	4197.72296585661
545	4540.97604568047
546	5081.83227968045
547	5812.50583009788
548	6435.97379656734
549	7035.75628916317
550	7429.35902133453
551	8411.31039861172
552	9334.72487378109
553	10006.96887685
554	11413.9882920284
555	11924.5621409638
556	12785.1923641983
557	13972.612055981
558	15028.157040784
559	16511.6161295498
560	17490.366481815
561	18818.2398370749
562	20159.5333995722
563	21115.3092215373
564	23402.1210112078
565	25130.6357481622
566	26364.438444636
567	28133.3695126004
568	30506.0717280315
569	32476.3996340724
570	33419.4092492126
571	35173.4033570157
572	36815.5167509571
573	39008.2192535629
574	40167.3871429769
575	43015.7581827266
576	44430.9072848118
577	46901.2884720618
578	48910.1058172037
579	50259.9723866809
580	51580.0922377597
581	54193.647895074
582	55743.0820311519
583	57084.2502901231
584	58337.1000232675
585	60161.7499781545
586	61355.2857058384
587	63451.2858715549
588	64314.4240738472
589	66616.3706450631
590	67532.2634601382
591	67859.5497703129
592	71563.3825659055
593	70795.3261389937
594	73067.5664337325
595	72860.5161139372
596	74091.7823193723
597	74392.4916505818
598	75224.2129976817
599	73560.1203595901
600	76295.9994010004
601	76543.4223932387
602	76095.2838756544
603	76634.1146166156
604	76276.8324885329
605	75822.3224442025
606	75477.6512618631
607	77413.2771925257
608	76745.217605999
609	75235.7568704289
610	76159.8826995929
611	75297.4378081822
612	75316.8244128574
613	73841.1817072327
614	73934.6497251428
615	71874.154860015
616	72678.1857315732
617	72285.2135471126
618	70899.2994093016
619	69749.0937730867
620	69249.0723515265
621	68317.5689666803
622	68632.6595271785
623	66730.0754319796
624	65428.225623179
625	63159.1993685216
626	63464.0815931484
627	61956.4850960101
628	62273.5915130427
629	60669.5248839782
630	59510.1705837604
631	57298.6509782611
632	56899.8552951156
633	56596.6677526183
634	55286.7233877265
635	53826.1818625446
636	52455.4271136003
637	52665.8094465044
638	51319.4665731652
639	50428.2520438117
640	49186.194749927
641	48210.631260457
642	48419.752582222
643	47697.1825079692
644	45718.8269790548
645	45398.8469794801
646	44117.2396989827
647	44618.2341251398
648	42891.4257152749
649	41729.4739011344
650	42043.6653344569
651	40248.0711419599
652	38858.9105823112
653	39164.2171319752
654	38949.7715827948
655	37376.9477270187
656	36307.297163395
657	35617.291812903
658	34419.0027173655
659	33844.6978870941
660	33577.6216962201
661	32625.7931427602
662	31605.4884343369
663	30902.5924565081
664	30219.3721325858
665	29697.9940005946
666	28609.0878112778
667	27479.4203322281
668	27046.1104351917
669	25547.5134337618
670	25825.348728711
671	24833.6799760391
672	24171.6919788278
673	23961.6678983137
674	22588.6945537404
675	22460.6285940964
676	21318.2537386269
677	20640.2833005883
678	20231.9328507594
679	18510.1934456969
680	19418.4405275598
681	17884.8938627653
682	18250.4724945282
683	16371.988198979
684	16705.4157400614
685	15555.7003069901
686	15138.0210806458
687	15266.1228618687
688	14094.7540995702
689	14090.3517409388
690	13269.6601389642
691	13386.07564336
692	12275.5130531855
693	12090.9811480918
694	11804.2387492811
695	11492.6774121037
696	10961.3791322867
697	10084.4353611015
698	10292.6170828078
699	9984.98835350122
700	9275.38998829161
